"species"	"site"	"season"	"count"
"3"	"79"	"1"	"0"
"1"	"80"	"1"	"1"
"2"	"80"	"1"	"0"
"3"	"80"	"1"	"1"
"1"	"81"	"1"	"1"
"2"	"81"	"1"	"0"
"3"	"81"	"1"	"1"
"1"	"82"	"1"	"1"
"2"	"82"	"1"	"0"
"3"	"82"	"1"	"1"
"1"	"83"	"1"	"1"
"2"	"83"	"1"	"0"
"3"	"83"	"1"	"1"
"1"	"84"	"1"	"1"
"2"	"84"	"1"	"0"
"3"	"84"	"1"	"1"
"1"	"85"	"1"	"1"
"2"	"85"	"1"	"0"
"3"	"85"	"1"	"1"
"1"	"87"	"1"	"1"
"2"	"87"	"1"	"0"
"3"	"87"	"1"	"1"
"1"	"88"	"1"	"1"
"2"	"88"	"1"	"0"
"3"	"88"	"1"	"1"
"1"	"89"	"1"	"0"
"2"	"89"	"1"	"0"
"3"	"89"	"1"	"0"
"1"	"90"	"1"	"1"
"2"	"90"	"1"	"0"
"3"	"90"	"1"	"1"
"1"	"91"	"1"	"0"
"2"	"91"	"1"	"0"
"3"	"91"	"1"	"0"
"1"	"92"	"1"	"1"
"2"	"92"	"1"	"0"
"3"	"92"	"1"	"1"
"1"	"93"	"1"	"1"
"2"	"93"	"1"	"0"
"3"	"93"	"1"	"1"
"1"	"94"	"1"	"0"
"2"	"94"	"1"	"0"
"3"	"94"	"1"	"0"
"1"	"95"	"1"	"0"
"2"	"95"	"1"	"1"
"3"	"95"	"1"	"0"
"1"	"96"	"1"	"1"
"2"	"96"	"1"	"0"
"3"	"96"	"1"	"1"
"1"	"97"	"1"	"1"
"2"	"97"	"1"	"0"
"3"	"97"	"1"	"1"
"1"	"98"	"1"	"0"
"2"	"98"	"1"	"0"
"3"	"98"	"1"	"0"
"1"	"99"	"1"	"0"
"2"	"99"	"1"	"0"
"3"	"99"	"1"	"0"
"1"	"100"	"1"	"0"
"2"	"100"	"1"	"0"
"3"	"100"	"1"	"0"
"1"	"101"	"1"	"1"
"2"	"101"	"1"	"0"
"3"	"101"	"1"	"1"
"1"	"102"	"1"	"1"
"2"	"102"	"1"	"1"
"3"	"102"	"1"	"1"
"1"	"103"	"1"	"1"
"2"	"103"	"1"	"0"
"3"	"103"	"1"	"1"
