Column1,sites,CRPPrp,SGPPrp,RowcropPrp,TotalEdge
200,201,0.14,0.121038291,0.286677183,335610
201,202,0.03,0.047776184,0.448637016,273150
202,203,0.03,0.35717357,0.137666619,548820
203,204,0.14,0.061654135,0.530612245,235320
204,205,0,0.022059877,0.687795445,136200
205,206,0,0.097492837,0.704154728,175020
206,207,0.01,0.37094924,0.149483797,367170
207,208,0.07,0.411330226,0.228182144,446220
208,209,0.13,0.290241629,0.317917832,288990
209,210,0.06,0.198523086,0.310367078,384660
210,211,0.13,0.140521939,0.425939203,322440
211,212,0,0.292550143,0.494197708,275400
212,213,0.25,0.122761782,0.394714224,210840
213,214,0.35,0.01153791,0.440518848,147360
214,215,0,0.200889016,0.07778893,676710
215,216,0.12,0.021482277,0.374722521,219510
216,217,0.11,0.084462608,0.507205851,190950
217,218,0.5,0.014251952,0.252238058,219600
218,219,0.01,0.022636103,0.51504298,249780
219,220,0,0.340764103,0.24743746,456450
220,221,0,0.344849832,0.38025948,360840
221,222,0,0.00989744,0.412249874,299250
222,223,0,0.316615318,0.128967543,624840
223,224,0.12,7.16E-05,0.611743645,130680
224,225,0,0.005021161,0.534825335,171120
225,226,0.01,0.311917396,0.304388355,443310
226,227,0.2,0,0.172547332,197310
227,228,0.22,0.000143266,0.36217765,167430
228,229,0.03,0.411275283,0.188280017,537450
229,230,0.11,0.115917079,0.27752672,314400
230,231,0.1,0.211057796,0.062092673,555990
231,232,0,0.529913305,0.164505266,490500
232,233,0,0.527463072,0.1350925,464160
233,234,0.03,0.296344086,0.312473118,442140
234,235,0,0.035209753,0,389340
235,236,0.02,0.087096774,0.588100358,236550
236,237,0.3,0.004302926,0.428714859,149460
237,238,0.15,0.355636833,0.151104418,379020
238,239,0.22,0.050920289,0.501683019,238680
239,240,0.07,0.057646806,0.351258335,339750
240,241,0.01,0.000716846,0.742795699,174330
241,242,0,0.061209862,0.535048739,222240
242,243,0.06,0.159042019,0.570342751,255330
243,244,0.28,0.042720952,0.448211598,162210
244,245,0.06,0.495950692,0.161398982,403260
245,246,0.06,0.331232543,0.099978515,417360
246,247,0.41,0.002149613,0.408784752,125640
247,248,0,0.161218638,0.428458781,300480
248,249,0.14,0.166989317,0.364953036,341370
249,250,0,0.20139088,0.285847433,605280
250,251,0.02,0.076012908,0.505414127,288600
251,252,0.07,0.072247706,0.343319954,314640
252,253,0.21,0.024201633,0.522339968,168210
253,254,0.05,0.521729776,0.02560241,571980
254,255,0.33,0.078063453,0.294850677,268560
255,256,0.04,0.175576896,0.27218002,346620
256,257,0.01,0.084354619,0.488998782,303150
257,258,0,0.175198683,0.237273573,478830
258,259,0.08,0.038450502,0.428622669,241740
259,260,0.1,0.223011262,0.321999857,345720
260,261,0,0.250591355,0.288724823,397140
261,262,0.26,0.080945559,0.315830946,213660
262,263,0,0.436103152,0.141762178,521640
263,264,0,0.203569637,0.341910974,425580
264,265,0.01,0.225519713,0.445448029,374850
265,266,0.09,0.138348992,0.483396687,213360
266,267,0.03,0.246558646,0.464439346,300960
267,268,0.11,0,0.230190032,218280
268,269,0.1,0.396344086,0.167096774,259200
269,270,0.01,0.300909026,0.239782406,601560
270,271,0.25,0.100035855,0.246755109,309810
271,272,0,0.001863532,0.847692087,139140
272,273,0.08,0.203470032,0.453685116,375150
273,274,0.05,0.072145726,0.177710843,431340
274,275,0.14,0.207640482,0.434704702,215940
275,276,0.12,0.04300767,0.367285499,247710
276,277,0.05,0.012319152,0.582223177,141240
277,278,0.04,0.027150942,0.678200444,288060
278,279,0.03,0.303534304,0.363323536,294240
279,280,0,0.490290219,0.003439627,851280
280,281,0.33,0.137223975,0.321336392,280200
281,282,0.04,0.335700961,0.349404506,308580
282,283,0.06,0.11609253,0.436582396,277410
283,284,0.08,0.261836442,0.522238164,172380
284,285,0,0.224410859,0.266456558,343800
285,286,0.15,0.1486893,0.433319009,179280
286,287,0.34,0.002650999,0.515440281,192600
287,288,0.03,0.131709065,0.557864565,252570
288,289,0,0.32162569,0.234463479,472560
289,290,0.15,0.35055906,0.187213303,413640
290,291,0.08,0.220416637,0.169947741,462060
291,292,0.07,0.015680939,0.633252184,117900
292,293,0,0.083864956,0.682890115,160860
293,295,0.03,0.163977916,0.458378146,312450
294,296,0.12,0.189848007,0.315600803,490950
295,297,0.15,0.161962751,0.21239255,409950
296,298,0.27,0.004797022,0.067086704,223620
297,299,0.08,0.020637764,0.530634181,189390
298,300,0.09,0.203772773,0.26667623,392430
299,301,0.22,0.379359736,0.125975793,366360
300,303,0.17,0.358571736,0.247723525,315330
301,304,0.05,0.008027523,0.6640625,141630
302,305,0,0.418841411,0.057140809,473430
303,306,0,0.170679278,0.585984523,269130
304,307,0,0.214541547,0.498424069,321750
305,308,0,0.034641039,0.756652083,154230
306,309,0.05,0.769318996,0.091684588,157260
307,310,0.01,0.004231818,0.817027686,167190
308,311,0.02,0.033493509,0.74008463,179430
309,312,0.01,0.003511286,0.719813687,223260
310,313,0,0.283676249,0.293210983,421680
311,314,0,0.41338498,0.369629151,397560
312,315,0.02,0.363212955,0.264903984,491760
313,316,0.1,0.212775109,0.454943007,292260
314,317,0.47,0.047192139,0.066700136,267990
315,318,0.62,0.1468967,0.122413917,200100
316,319,0,0.200588067,0.274741824,422100
317,320,0.09,0.016608204,0.67771494,172800
318,321,0.06,0.000430015,0.331684942,197970
319,322,0.13,0.033507554,0.541347462,329940
320,323,0.1,0.451439622,0.030511388,442230
321,324,0.11,0.287732129,0.056499606,433590
322,325,0,0,0.84399197,128310
323,326,0.32,0.023060947,0.419036024,256710
324,327,0.01,0.130890052,0.507853403,388860
325,328,0.28,0.060091677,0.387910042,233370
326,329,0,0.000286451,0.864508737,121860
327,330,0,0.000358166,0.741547278,113070
328,331,0,0.050778168,0.422075593,354450
329,332,0.2,0.059843761,0.520031534,160770
330,333,0,0,0.187204131,153690
331,334,0.1,0,0.565317091,238320
332,335,0,0.319283154,0.000286738,343440
333,336,0.07,0.096859765,0.511399484,174900
334,337,0.24,0.115373584,0.222572781,379530
335,338,0.05,0.000214884,0.424468161,183990
336,340,0,0.484123002,0.165579528,480840
337,341,0.03,0.20524957,0.471815835,339720
338,342,0.04,0.136670013,0.497705435,333960
339,343,0,0.14144454,0.645743766,258360
340,344,0.37,0.004154133,0.319796591,197640
341,345,0.16,0.003081775,0.410592704,300270
342,346,0,0.589795041,0.152931059,382800
343,347,0.23,0.045203811,0.384268214,268110
344,348,0.03,0.147600947,0.459800617,301680
345,349,0.01,0.601691271,0.107424394,357360
346,350,0.07,0.084427229,0.635248547,286770
347,351,0.06,0.030103211,0.667574541,168870
348,352,0.04,0.114570629,0.344644523,411360
